Seed, Checksum, Random Portals Setting (Total Greens + Reds, D[IJLTZ], N[LZ])
1294580, 9C4A5C38, Standard Portals (16, 1 3 2 2 2, 4 2)
2207539, 03EBDE07, Standard Portals (23, 1 5 2 2 2, 6 5)
3227650, F7E3CAC7, Standard Portals (24, 1 3 2 3 2, 7 6)
23859963, F83F8D91, Standard Portals (18, 1 3 2 3 2, 4 3)
28475165, E08FAB33, Standard Portals (21, 1 3 3 2 2, 7 3)
52756317, E43ACEA0, Standard Portals (19, 1 3 2 2 2, 6 3)
53843731, 5B4C1FE6, Standard Portals (20, 1 3 2 2 3, 5 4)
65815628, 4181F929, Standard Portals (19, 1 4 2 2 2, 6 2)
72761394, 217E1FA4, Standard Portals (18, 1 3 2 2 2, 6 2)
85910688, 82AA9DA4, Standard Portals (24, 1 5 2 2 2, 9 3)
89632737, 31FF0853, Standard Portals (21, 1 3 2 3 2, 7 3)
114667569, 3EF51E03, Standard Portals (21, 1 3 2 2 2, 7 4)
124496729, FA4049B2, Standard Portals (20, 1 3 3 2 2, 7 2)
125880472, A39D3E37, Standard Portals (21, 1 3 2 4 2, 6 3)
138326672, 91C6166C, Standard Portals (19, 1 3 2 3 2, 5 3)
146226811, 06A73713, Standard Portals (22, 1 3 2 2 3, 5 6)
147072966, 1004F0FE, Standard Portals (19, 1 3 2 2 3, 5 3)
156692843, 9ABA4A62, Standard Portals (21, 1 4 2 2 3, 4 5)
159521391, 234F5821, Standard Portals (22, 1 3 2 2 2, 8 4)
182142398, B74D8E71, Standard Portals (21, 1 3 2 2 3, 7 3)
186779657, 7A0F09AB, Standard Portals (18, 1 3 2 2 2, 6 2)
205018272, 2CEF082F, Standard Portals (22, 1 3 2 2 3, 6 5)
217787763, 9E8A4E7E, Standard Portals (21, 1 3 2 3 2, 4 6)
218287823, 8F6650BA, Standard Portals (20, 1 3 3 2 2, 6 3)
226679727, 5A21E777, Standard Portals (22, 1 3 2 4 3, 5 4)
227704011, 33D6BA84, Standard Portals (18, 1 4 2 3 2, 3 3)
231655582, F2FE3268, Standard Portals (24, 1 4 2 2 4, 6 5)
252133618, 24003DDA, Standard Portals (19, 1 3 2 2 2, 4 5)
273245127, 13B7681B, Standard Portals (18, 1 4 2 2 2, 3 4)
278299784, 3213A93F, Standard Portals (19, 1 3 2 2 2, 6 3)
286738280, 4DFD2831, Standard Portals (18, 1 3 2 2 2, 3 5)
302586407, 130E5580, Standard Portals (20, 1 3 2 2 2, 7 3)
309902924, D8D2EA0A, Standard Portals (23, 1 4 2 2 3, 8 3)
323077057, FDD31091, Standard Portals (22, 1 4 2 2 2, 7 4)
333165961, ED0B5059, Standard Portals (21, 1 3 2 2 3, 6 4)
335093184, D05E48C8, Standard Portals (17, 1 3 2 2 2, 5 2)
338697152, 66330685, Standard Portals (19, 1 4 2 2 2, 4 4)
342514450, E17F8847, Standard Portals (21, 1 4 2 3 2, 5 4)
344188849, FD678BBB, Standard Portals (21, 1 3 2 2 2, 6 5)
